"Experimento Condutividade Térmica","","","","","","","","","","","","","","","","","","","","","","",""
"Teflon","","","","","","Argamassa de Rejunte (de Revestimento)","","","","","","Fibra de Vidro","","","","","","Resina stycast 10% AlN","","","","",""
"1.5A","","2A","","2.5A","","1.5A","","2A","","2.5A","","1.5A","","2A","","2.5A","","1.0 A","","1.5 A","","2.0 A",""
"Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)","Tempo (min)","Temperatura (ºC)"
"0.12","20.75","0.12","21.75","0.12","23.25","0.12","21.5","0.12","24.25","0.12","25","0.12","20.5","0.12","26","0.12","28","6","22.05","6","26.35","6","26.46"
"0.13","20.75","0.13","21.75","0.13","23.5","0.13","21.5","0.13","24.25","0.13","25","0.13","20.5","0.13","26","0.13","27.75","6.5","22.07","6.5","26.31","6.5","26.52"
"0.14","20.75","0.14","22","0.14","23.5","0.14","21.5","0.14","24.25","0.14","25","0.14","20.5","0.14","26","0.14","28","7","22.05","7","26.34","7","26.55"
"0.15","20.75","0.15","21.75","0.15","23.5","0.15","21.75","0.15","24.25","0.15","25.25","0.15","20.5","0.15","26","0.15","28","7.5","22.09","7.5","26.34","7.5","26.52"
"0.16","20.5","0.16","21.75","0.16","23.5","0.16","21.5","0.16","24.25","0.16","25.25","0.16","20.5","0.16","26","0.16","28","8","22.04","8","26.34","8","26.59"
"0.17","20.75","0.17","22","0.17","23.5","0.17","21.75","0.17","24.25","0.17","25.25","0.17","20.5","0.17","26","0.17","28","8.5","22.11","8.5","26.34","8.5","26.52"
"0.18","20.75","0.18","21.75","0.18","23.5","0.18","21.75","0.18","24.25","0.18","25.25","0.18","20.5","0.18","26","0.18","28","9","22.17","9","26.39","9","26.54"
"0.19","20.75","0.19","22","0.19","23.5","0.19","21.75","0.19","24.25","0.19","25.25","0.19","20.5","0.19","26","0.19","28","9.5","22.06","9.5","26.37","9.5","26.57"
"0.2","20.75","0.2","21.75","0.2","23.5","0.2","21.75","0.2","24.25","0.2","25.5","0.2","20.5","0.2","26","0.2","28","10","22.11","10","26.41","10","26.68"
"0.21","20.75","0.21","22","0.21","23.5","0.21","21.75","0.21","24.25","0.21","25.5","0.21","20.5","0.21","26","0.21","28","10.5","22.07","10.5","26.41","10.5","26.61"
"0.23","20.75","0.23","21.75","0.23","23.5","0.23","21.75","0.23","24.5","0.23","25.5","0.23","20.5","0.23","26","0.23","28","11","22.12","11","26.39","11","26.67"
"0.24","20.75","0.24","22","0.24","23.5","0.24","21.75","0.24","24.5","0.24","25.75","0.24","20.5","0.24","26","0.24","28","11.5","22.06","11.5","26.41","11.5","26.7"
"0.25","20.75","0.25","22","0.25","23.5","0.25","21.75","0.25","24.5","0.25","25.75","0.25","20.75","0.25","26","0.25","28","12","22.13","12","26.45","12","26.67"
"0.26","20.75","0.26","22","0.26","23.5","0.26","21.75","0.26","24.5","0.26","25.75","0.26","20.5","0.26","26","0.26","28","12.5","22.22","12.5","26.52","12.5","26.7"
"0.27","20.75","0.27","22","0.27","23.5","0.27","21.75","0.27","24.5","0.27","25.75","0.27","20.5","0.27","26","0.27","28","13","22.13","13","26.48","13","26.7"
"0.28","20.75","0.28","22","0.28","23.5","0.28","21.75","0.28","24.5","0.28","26","0.28","20.75","0.28","26","0.28","28","13.5","22.11","13.5","26.41","13.5","26.74"
