resistência termistor	deformação
Ohm	
	Titânio
1038.06547	0.011259
1038.24142	0.011259
1038.39039	0.01126
1038.52466	0.01126
1038.62301	0.01126
1038.73992	0.011261
1038.95722	0.011261
1039.17629	0.011261
1039.34493	0.011262
1039.53962	0.011262
1039.8791	0.011263
1039.99846	0.011263
1040.04572	0.011264
1040.11455	0.011264
1040.26285	0.011264
1040.40186	0.011265
1040.56481	0.011265
1040.6915	0.011266
1040.69889	0.011266
1040.78057	0.011267
1040.9121	0.011267
1040.96833	0.011267
1041.03105	0.011267
1041.0715	0.011268
1041.11885	0.011268
1041.16671	0.011269
1041.21858	0.011269
1041.29557	0.011269
1041.34296	0.011269
1041.40137	0.01127
1041.4759	0.01127
1041.63126	0.01127
1041.84204	0.011271
1042.04441	0.011271
1042.13551	0.011272
1042.17048	0.011272
1042.20939	0.011272
1042.22615	0.011272
1042.26497	0.011272
1042.33858	0.011273
1042.36658	0.011273
1042.43423	0.011273
1042.62517	0.011274
1042.76139	0.011274
1042.87362	0.011274
1042.98082	0.011274
1043.07517	0.011275
1043.16782	0.011275
1043.22049	0.011275
1043.29337	0.011276
1043.48491	0.011276
1043.62519	0.011276
1043.74448	0.011277
1043.95208	0.011277
1044.09993	0.011278
1044.15785	0.011278
1044.18751	0.011278
1044.19163	0.011278
1044.23374	0.011279
1044.29486	0.011279
1044.32952	0.011279
1044.4597	0.011279
1044.65391	0.01128
1044.79652	0.01128
1044.87292	0.011281
1044.89733	0.011281
1044.95035	0.011281
1045.02627	0.011281
1045.1545	0.011282
1045.37569	0.011283
1045.55323	0.011283
1045.64864	0.011283
1045.7182	0.011283
1045.94768	0.011284
1046.13736	0.011284
1046.23159	0.011284
1046.28714	0.011284
1046.32999	0.011284
1046.4034	0.011285
1046.54424	0.011285
1046.7109	0.011285
1046.89944	0.011286
1047.06413	0.011286
1047.19019	0.011286
1047.30129	0.011287
1047.3622	0.011287
1047.39446	0.011287
1047.43202	0.011287
1047.45193	0.011287
1047.49831	0.011288
1047.60063	0.011288
1047.68529	0.011288
1047.78222	0.011289
1047.96901	0.011289
1048.11099	0.011289
1048.23614	0.011289
1048.49637	0.01129
1048.82776	0.01129031699
1049.04164	0.01129066736
1049.08512	0.01129096782
1049.10917	0.01129124424
1049.18271	0.01129144853
1049.24704	0.01129177997
1049.25349	0.01129216463
1049.28753	0.0112923876
1049.41381	0.0112926419
1049.55062	0.01129293885
1049.63764	0.01129312441
1049.78725	0.01129329059
1049.87243	0.01129349812
1049.93423	0.0112938061
1050.01851	0.01129409064
1050.00978	0.01129430667
1050.04502	0.01129455037
1050.20452	0.01129487683
1050.32918	0.01129517656
1050.50029	0.01129553354
1050.72386	0.01129574064
1050.9415	0.01129607244
1051.06018	0.01129635434
1051.18362	0.01129667425
1051.33258	0.01129690058
1051.47953	0.01129716055
1051.52055	0.01129737233
1051.49466	0.01129751736
1051.43795	0.0112976035
1051.42303	0.01129772932
1051.51562	0.01129811427
1051.60872	0.01129844406
1051.64332	0.01129872136
1051.66112	0.011298964
1051.6882	0.01129921043
1051.73985	0.01129937655
1051.7932	0.0112996467
1051.87116	0.01129998128
1051.96376	0.01130021986
1052.17133	0.01130046526
1052.35034	0.01130058214
1052.57731	0.01130088433
1052.72742	0.01130116308
1052.76507	0.01130146846
1052.85533	0.01130186364
1052.90667	0.01130214872
1052.91259	0.01130223425
1052.92738	0.01130231177
1052.94766	0.01130248619
1052.99044	0.01130268473
1053.09058	0.01130282423
1053.15553	0.01130299825
1053.19789	0.0113031905
1053.26061	0.01130343364
1053.34649	0.0113037109
1053.42989	0.01130395593
1053.57671	0.01130415845
1053.65603	0.01130435911
1053.681	0.01130452322
1053.72405	0.01130480727
1053.74927	0.01130501101
1053.75612	0.01130524088
1053.77854	0.0113053439
1053.79367	0.01130556635
1053.86286	0.01130580994
1053.95335	0.01130606452
1054.00919	0.01130627799
1054.03404	0.01130632945
1054.04984	0.01130639194
1054.12589	0.01130651998
1054.19416	0.01130671311
1054.2237	0.01130697211
1054.23256	0.01130711566
1054.23888	0.01130716605
1054.29493	0.01130742877
1054.37626	0.01130765066
1054.48881	0.01130787164
1054.56232	0.01130813218
1054.64334	0.01130817664
1054.73256	0.01130826127
1054.76974	0.01130838807
1054.83242	0.01130860832
1054.94119	0.01130879118
1055.0363	0.0113090486
1055.10656	0.0113092413
1055.24234	0.01130957872
1055.43149	0.01130983534
1055.62112	0.01131007343
1055.76644	0.01131031194
1055.81645	0.01131052659
1055.82611	0.01131069835
1055.79411	0.01131085909
1055.774	0.01131100016
1055.78429	0.0113111468
1055.8639	0.01131144278
1055.91323	0.01131160033
1055.96105	0.01131182648
1056.01277	0.01131199137
1056.06423	0.01131223993
1056.17301	0.01131243655
1056.27616	0.01131261455
1056.33901	0.01131282825
1056.38764	0.01131288246
1056.4365	0.01131310332
1056.42603	0.01131330923
1056.41167	0.01131344066
1056.4313	0.01131369128
1056.60788	0.01131387443
1056.7717	0.01131407005
1056.89456	0.0113142739
1056.96128	0.01131445041
1056.97964	0.01131455745
1057.01447	0.01131479196
1057.03451	0.01131494575
1057.05406	0.01131513814
