resistência termistor	deformação
Ohm	
Teflon	Teflon
957.031366	0.009535
957.488439	0.009542
957.869087	0.00955
958.122089	0.009557
958.394409	0.009568
959.04209	0.009578
959.613131	0.009587
960.298116	0.009595
960.773093	0.009605
961.475076	0.009618
962.349152	0.009626
962.989676	0.009636
963.680456	0.009651
964.970266	0.009665
966.49305	0.009676
967.761075	0.00969
969.264979	0.0097
970.444326	0.009707
971.436142	0.009721
972.660304	0.009729
973.456762	0.009741
974.326961	0.009751
975.02048	0.009758
975.294973	0.009766
975.698103	0.009778
976.544314	0.009787
977.190522	0.009796
977.714395	0.009802
977.988216	0.009808
978.174276	0.009815
978.294421	0.009821
978.486712	0.009827
978.69806	0.009833
978.879616	0.009839
979.057116	0.009846
979.300492	0.009852
979.564978	0.009858
979.623563	0.009865
979.907563	0.009875
980.420654	0.009883
980.821246	0.00989
981.072249	0.009898
981.636129	0.009905
982.046949	0.009913
982.433915	0.009921
982.907155	0.009929
983.431419	0.009936
983.799489	0.009943
983.94759	0.009951
984.345884	0.00996
984.720454	0.009967
985.039894	0.009974
985.349634	0.009981
985.725248	0.009988
986.037941	0.009994
986.28459	0.010002
986.798557	0.010009
987.219406	0.010015
987.428246	0.010023
987.879408	0.010029
988.222464	0.010036
988.474383	0.010042
988.68224	0.01005
989.059614	0.010058
989.504256	0.010065
989.923109	0.010072
990.350282	0.010078
990.712068	0.010084
990.981898	0.010091
991.319346	0.010098
991.759346	0.010105
992.208302	0.010111
992.617861	0.010117
992.980034	0.010124
993.350323	0.01013
993.714734	0.010136
994.059301	0.010142
994.37253	0.010148
994.671343	0.010153
994.957485	0.010161
995.295164	0.010166
995.613066	0.010174
996.054124	0.010181
996.535207	0.010187
996.940284	0.010192
997.285156	0.010199
997.802738	0.010211
998.50535	0.010216
999.010284	0.01022
999.351913	0.010225
999.605226	0.010231
999.817858	0.010236
999.989408	0.01024
1000.12784	0.010246
1000.23697	0.010252
1000.33332	0.010258
1000.42068	0.010263
1000.50886	0.010269
1000.60777	0.010274
1000.69147	0.010282
1000.80338	0.010288
1000.85997	0.010292
1000.91821	0.010296
1000.99045	0.010301
1001.07131	0.010305
1001.17384	0.01031
1001.28908	0.010314
1001.41751	0.010318
1001.56512	0.010324
1001.74831	0.010328
1001.96298	0.010332
1002.22686	0.010338
1002.53355	0.010344
1002.91732	0.01035
1003.21033	0.010357
1004.01541	0.010365
1004.52462	0.01037
1004.71917	0.010374
1004.83937	0.010377
1005.34699	0.010384
1006.05131	0.010391
1006.76823	0.010395
1007.09147	0.0104
1007.89827	0.010405
1008.37186	0.010409
1009.06084	0.010415
1009.54707	0.010419
1010.04475	0.010422
1010.77252	0.010428
1011.66745	0.010433
1012.4949	0.01044
1013.45273	0.010447
1014.40349	0.010456
1015.36569	0.010461
1016.09471	0.010466
1016.9225	0.010472
1017.5475	0.01048
1018.23788	0.010487
1019.04789	0.010496
1019.64452	0.010502
1020.26265	0.01051
1020.90063	0.010517
1021.30045	0.010522
1021.69376	0.010529
1022.29398	0.010537
1022.83615	0.010546
1023.38049	0.01055
1023.63008	0.010554
1023.73183	0.010558
1023.81503	0.010564
1024.03267	0.01057
1024.60626	0.010578
1025.1541	0.010587
1025.72273	0.010594
1025.89945	0.010599
1026.00217	0.010602
1025.98322	0.010606
1026.15325	0.010614
1026.31659	0.01062
1026.59791	0.010625
1026.90107	0.010632
1027.11654	0.010638
1027.55542	0.010644
1027.90949	0.010646
1028.00022	0.010653
1028.2563	0.01066
1028.32138	0.010664
1028.57314	0.01067
1028.692	0.010675
1028.88055	0.01068
1029.08037	0.010684
1029.01957	0.010688
1029.14272	0.010693
1029.13901	0.010696
1029.21209	0.010702
1029.37562	0.010706
1029.40091	0.01071
1029.38732	0.010714
1029.38402	0.010719
1029.40861	0.010723
1029.41613	0.010728
1029.41919	0.010733
1029.44253	0.010737
1029.45352	0.010742
1029.47505	0.010746
1029.52406	0.010751
1029.55955	0.010755
1029.59451	0.01076
1029.696	0.010764
1029.82785	0.01077
1029.98435	0.010774
1030.06692	0.010779
1030.14004	0.010783
1030.24178	0.010788
1030.55731	0.010793
1030.83559	0.010799
1031.04402	0.010803
1031.14285	0.010808
1031.26426	0.010813
1031.47961	0.010819
1031.70765	0.010825
1032.08148	0.01083
1032.22893	0.010835
1032.35643	0.01084
1032.50074	0.010844
1032.73925	0.010849
1032.87136	0.010854
1032.87368	0.010858
1033.11584	0.010865
1033.47839	0.010871
1033.5922	0.010876
1033.58792	0.010881
1033.64089	0.010886
1033.76714	0.010892
1034.01537	0.010897
1034.26569	0.010904
1034.69868	0.01091
1035.12585	0.010916
1035.54963	0.01092
1035.7148	0.010924
1035.78858	0.010929
1035.95996	0.010935
1036.21729	0.010939
1036.38281	0.010944
1036.55685	0.010949
1036.73139	0.010954
1036.83329	0.010959
1036.96464	0.010964
1037.06828	0.010968
1037.15788	0.010973
1037.53615	0.010979
1037.89717	0.010984
1038.16326	0.010989
1038.35595	0.010994
1038.47425	0.010999
1038.61115	0.011004
1038.90886	0.01101
1039.23339	0.011017
1039.59473	0.011023
1039.99017	0.01103
1040.28601	0.011036
1040.45751	0.011043
1040.58869	0.01105
1040.75483	0.011054
1040.77769	0.011059
1040.83708	0.011063
1040.85027	0.011067
1040.86185	0.011071
1040.86757	0.011076
1040.96386	0.011081
1041.06125	0.011085
1041.07116	0.01109
1041.06353	0.011095
1041.07229	0.0111
1041.10249	0.011105
1041.14621	0.011109
1041.18418	0.011114
1041.30642	0.01112
1041.58806	0.011126
1042.02854	0.011133
1042.32754	0.011139
1042.60622	0.011146
1042.85385	0.011153
1043.08572	0.01116
1043.37863	0.011164
1043.44844	0.011169
1043.4497	0.011173
1043.48145	0.011178
1043.60585	0.011183
1043.76858	0.011188
1043.95061	0.011193
1044.09293	0.011197
1044.22432	0.011201
1044.30737	0.011206
1044.35783	0.011211
1044.41626	0.011216
1044.45326	0.01122
1044.58392	0.011226
1044.74317	0.011231
1044.82679	0.011236
1045.04844	0.011241
1045.21645	0.011246
1045.36792	0.011251
1045.55192	0.011257
1045.73755	0.011261
1045.74658	0.011265
1045.73001	0.011269
1045.74052	0.011273
1045.78605	0.011277
1045.86397	0.011283
1045.92825	0.011287
1046.01925	0.011291
1046.06956	0.011297
1046.1834	0.011302
1046.3953	0.011308
1046.80911	0.011314
1047.27675	0.011321
1047.60968	0.011327
1048.02566	0.011334
1048.28707	0.01134
1048.49281	0.011345
1048.71514	0.011351
1048.94945	0.011358
1049.23921	0.011363
1049.42752	0.011368
1049.53412	0.011372
1049.60456	0.011376
1049.63614	0.011382
1049.70773	0.011387
1049.86854	0.011393
1050.10534	0.011398
1050.20672	0.011402
1050.13672	0.011407
1050.17811	0.011411
1050.21711	0.011416
1050.27048	0.01142
1050.36795	0.011426
1050.54423	0.011432
1050.73652	0.011438
1050.91251	0.011443
1050.9903	0.011447
1051.05197	0.011452
1051.17267	0.011458
1051.31849	0.011463
1051.4771	0.011469
1051.73174	0.011475
1051.81314	0.01148
1051.84064	0.011485
1051.86588	0.01149
1051.88547	0.011494
1051.93968	0.0115
1052.05718	0.011505
1052.1867	0.01151
1052.23505	0.011515
1052.24566	0.01152
1052.21727	0.011524
1052.23885	0.011529
1052.26197	0.011533
1052.26674	0.011537
1052.2977	0.011541
1052.3789	0.011546
1052.49312	0.011551
1052.56741	0.011555
1052.61144	0.011559
1052.60675	0.011563
1052.7096	0.011567
1052.82935	0.011572
1053.09223	0.011577
1053.21335	0.011582
1053.25653	0.011586
1053.32249	0.01159
1053.36014	0.011595
1053.41244	0.0116
1053.54808	0.011605
1053.77683	0.011611
1053.98861	0.011616
1054.22331	0.01162
1054.38004	0.011625
1054.49181	0.011629
1054.57854	0.011634
1054.67291	0.011639
1054.72104	0.011643
1054.83205	0.011649
1054.97516	0.011653
1055.11166	0.011658
1055.23984	0.011663
1055.33078	0.011668
1055.42501	0.011673
1055.60157	0.011678
1055.76754	0.011682
1055.88607	0.011688
1056.02551	0.011694
1056.10738	0.011697
1056.19909	0.011701
1056.43195	0.011706
1056.6976	0.011711
1056.81278	0.011716
1056.9746	0.01172
1057.14935	0.011723
1057.23947	0.011729
1057.30202	0.011734
1057.43196	0.011738
1057.44455	0.011742
1057.39262	0.011746
1057.31656	0.01175
1057.34431	0.011755
1057.36905	0.011759
1057.38474	0.011763
1057.35989	0.011767
1057.27739	0.011771
1057.30013	0.011774
1057.35662	0.011778
1057.32564	0.011781
1057.29755	0.011785
1057.34652	0.011789
1057.44151	0.011793
1057.62545	0.011797
1057.77599	0.011801
1057.85396	0.011805
1057.94863	0.01181
1057.99867	0.011815
1058.15904	0.01182
1058.2653	0.011824
1058.30017	0.011828
1058.31265	0.011832
1058.32395	0.011836
1058.42041	0.011839
1058.43219	0.011843
1058.51818	0.011847
1058.5442	0.011851
1058.60363	0.011856
1058.69881	0.011861
1058.74239	0.011864
1058.71959	0.011868
1058.70765	0.011872
1058.73735	0.011876
1058.78726	0.01188
1058.81064	0.011883
1058.83395	0.011887
1058.89205	0.01189
1058.94725	0.011894
1059.02593	0.011898
1059.09638	0.011902
1059.15783	0.011905
1059.19847	0.011909
1059.20192	0.011912
1059.25619	0.011916
1059.30452	0.011919
1059.32618	0.011923
1059.32694	0.011926
1059.33676	0.011929
1059.36262	0.011933
1059.41022	0.011936
1059.45349	0.01194
1059.49854	0.011943
1059.61611	0.011947
1059.72209	0.01195
1059.82051	0.011954
1059.90531	0.011957
1059.97343	0.01196
1060.11876	0.011963
1060.10902	0.011966
1060.08936	0.011969
1060.05852	0.011972
1060.08979	0.011975
1060.12985	0.011978
1060.25201	0.011982
1060.43934	0.011985
1060.55572	0.011988
1060.6545	0.011992
1060.76596	0.011996
1060.94033	0.011999
1061.08275	0.012002
1061.19673	0.012006
1061.28749	0.012008
1061.31713	0.012011
1061.40174	0.012015
1061.43911	0.012019
1061.4246	0.012022
1061.44148	0.012026
1061.47929	0.012029
1061.59107	0.012032
1061.61528	0.012035
1061.67935	0.012038
1061.78755	0.012041
1061.84267	0.012044
1061.85781	0.012047
1061.84123	0.01205
1061.82036	0.012053
1061.83262	0.012055
1061.83596	0.012058
1061.80837	0.01206
1061.80436	0.012063
1061.83384	0.012066
1061.91201	0.012069
1062.01745	0.012072
1062.05221	0.012075
1062.11878	0.012078
1062.21907	0.01208
1062.27679	0.012082
1062.33056	0.012085
1062.39364	0.012089
1062.46863	0.012092
1062.54656	0.012095
1062.69623	0.012098
1062.80563	0.012101
1062.87274	0.012104
1062.92163	0.012107
1062.97427	0.01211
1063.0387	0.012113
1063.09981	0.012115
1063.07137	0.012117
1063.08317	0.012119
1063.12159	0.012123
1063.24191	0.012125
1063.27381	0.012127
1063.36918	0.01213
1063.45524	0.012133
1063.61124	0.012135
1063.69881	0.012138
1063.75433	0.012141
1063.81967	0.012143
1063.90207	0.012145
1063.96838	0.012148
1064.04299	0.01215
1064.04278	0.012152
1064.05763	0.012154
1064.11173	0.012156
1064.0833	0.012158
1064.10703	0.012161
1064.17149	0.012163
1064.16667	0.012165
1064.18756	0.012167
1064.21917	0.01217
1064.21522	0.012172
1064.25524	0.012175
1064.3149	0.012177
1064.28417	0.01218
1064.31055	0.012182
1064.30833	0.012184
1064.29077	0.012186
1064.3012	0.012189
1064.40636	0.012191
1064.42992	0.012193
1064.45754	0.012195
1064.47853	0.012198
1064.51051	0.0122
1064.61218	0.012202
1064.73614	0.012205
1064.79197	0.012208
1064.87458	0.01221
1064.92347	0.012212
1064.92809	0.012214
1064.98002	0.012217
1065.04789	0.01222
1065.14642	0.012221
1065.21562	0.012224
1065.27686	0.012226
1065.27783	0.012228
1065.32543	0.01223
1065.34561	0.012232
1065.3728	0.012234
1065.45161	0.012237
1065.53681	0.012239
1065.57684	0.012241
1065.60466	0.012244
1065.6696	0.012246
1065.74687	0.012248
1065.8019	0.01225
1065.81964	0.012251
1065.7968	0.012253
1065.82149	0.012255
1065.78618	0.012257
1065.79502	0.01226
1065.83447	0.012262
1065.82872	0.012264
1065.83454	0.012266
1065.87418	0.012268
1066.01143	0.01227
1066.01664	0.012271
1066.00749	0.012273
1066.04345	0.012275
1066.08724	0.012276
1066.08897	0.012277
1066.06623	0.012278
1066.07548	0.012279
1066.10017	0.012281
1066.10655	0.012282
1066.1215	0.012283
1066.14028	0.012284
1066.13816	0.012286
1066.22129	0.012288
1066.29383	0.012289
1066.29091	0.012291
1066.33494	0.012291
1066.32959	0.012293
1066.38071	0.012294
1066.43265	0.012295
1066.45867	0.012297
1066.47017	0.012298
1066.5518	0.0123
1066.61932	0.012302
1066.6941	0.012304
1066.76191	0.012306
1066.91547	0.012308
1067.01723	0.01231
1067.13425	0.012312
1067.18523	0.012314
1067.31259	0.012316
1067.352	0.012319
1067.35026	0.012321
1067.33875	0.012324
1067.39077	0.012326
1067.50532	0.012329
1067.62504	0.012331
1067.65293	0.012333
1067.7058	0.012335
1067.74173	0.012338
1067.81539	0.012341
1067.88028	0.012343
1067.96633	0.012345
1068.02509	0.012348
1068.10227	0.012351
1068.25666	0.012353
1068.34607	0.012355
1068.43002	0.012357
1068.47398	0.012359
1068.49101	0.012362
1068.55593	0.012364
1068.52622	0.012367
1068.52766	0.012369
1068.58525	0.012371
1068.69936	0.012374
1068.79769	0.012375
1068.89136	0.012378
1069.03283	0.01238
1069.09343	0.012382
1069.20978	0.012385
1069.35519	0.012388
